Index|Compound_Code
1|C00001
2|C00002
3|C00003
4|C00004
5|C00005
6|C00006
7|C00007
8|C00008
9|C00009
10|C00010
11|C00011
12|C00012
13|C00013
14|C00014
15|C00015
16|C00016
17|C00017
18|C00018
19|C00019
20|C00020
21|C00021
22|C00022
23|C00023
24|C00024
25|C00025
26|C00026
27|C00027
28|C00028
29|C00029
30|C00030
31|C00031
32|C00032
33|C00033
34|C00034
35|C00035
36|C00036
37|C00037
38|C00038
39|C00039
40|C00040
41|C00041
42|C00042
43|C00043
44|C00044
45|C00045
46|C00046
47|C00047
48|C00048
49|C00049
50|C00050
51|C00051
52|C00052
53|C00053
54|C00054
55|C00055
56|C00058
57|C00059
58|C00060
59|C00061
60|C00062
61|C00063
62|C00064
63|C00065
64|C00066
65|C00067
66|C00068
67|C00069
68|C00070
69|C00071
70|C00072
71|C00073
72|C00074
73|C00075
74|C00076
75|C00077
76|C00078
77|C00079
78|C00080
79|C00081
80|C00082
81|C00083
82|C00084
83|C00085
84|C00086
85|C00087
86|C00088
87|C00089
88|C00090
89|C00091
90|C00092
91|C00093
92|C00094
93|C00095
94|C00096
95|C00097
96|C00098
97|C00099
98|C00100
99|C00101
100|C00102
101|C00103
102|C00104
103|C00105
104|C00106
105|C00107
106|C00108
107|C00109
108|C00110
109|C00111
110|C00112
111|C00113
112|C00114
113|C00116
114|C00117
115|C00118
116|C00119
117|C00120
118|C00121
119|C00122
120|C00123
121|C00124
122|C00125
123|C00126
124|C00127
125|C00128
126|C00129
127|C00130
128|C00131
129|C00132
130|C00133
131|C00134
132|C00135
133|C00136
134|C00137
135|C00138
136|C00139
137|C00140
138|C00141
139|C00143
140|C00144
141|C00145
142|C00146
143|C00147
144|C00148
145|C00149
146|C00150
147|C00151
148|C00152
149|C00153
150|C00154
151|C00155
152|C00156
153|C00157
154|C00158
155|C00159
156|C00160
157|C00161
158|C00162
159|C00163
160|C00164
161|C00165
162|C00166
163|C00167
164|C00168
165|C00169
166|C00170
167|C00171
168|C00172
169|C00173
170|C00174
171|C00175
172|C00176
173|C00177
174|C00178
175|C00179
176|C00180
177|C00181
178|C00182
179|C00183
180|C00184
181|C00185
182|C00186
183|C00187
184|C00188
185|C00189
186|C00190
187|C00191
188|C00192
189|C00193
190|C00194
191|C00195
192|C00196
