Reactions|Direction|Left|Right
1|=|1:380|1:1791
2|=|1:135|2:3964,136
3|=|1:13|1:9
4|>|1:900|2:11,14
5|>|1:22|1:806
6|>|1:22|1:4444
7|>|1:27|2:7,1
8|>|1:962|1:31
9|=|1:16139|1:16140
10|=|1:44|2:13,1110
11|>|1:48|1:1015
12|>|2:66,22|1:3803
13|=|1:87|2:31,2839
14|=|1:123|1:122
15|>|1:131|1:4696
16|=|2:135,78|2:270,136
17|=|2:26,62|1:25
18|>|1:1405|1:137
19|=|2:188,3|2:1518,4
20|>|3:1,1045,11|1:193
21|>|1:14625|2:86,82
22|>|1:181|1:217
23|=|1:1214|1:255
24|>|1:204|1:261
25|=|2:303,122|2:1721,123
26|>|1:80|1:335
27|>|2:1729,7|1:353
28|>|1:355|1:4327
29|=|1:2458|1:6115
30|>|1:403|1:832
31|=|1:442|1:2338
32|=|1:454|2:6108,87
33|=|1:319|1:556
34|>|1:1042|1:585
35|=|1:3466|1:676
36|>|1:1503|1:678
37|>|1:335|1:736
38|=|2:910,30|2:941,28
39|=|1:3465|1:966
40|=|1:1024|2:31,3146
41|=|2:1192,1164|1:1168
42|=|1:1324|1:1226
43|=|1:2280|1:1533
44|=|1:278|1:1651
45|=|1:1589|1:1788
46|=|1:1289|1:1893
47|=|1:88|1:1920
48|=|1:1106|1:1942
49|=|1:457|1:2406
50|=|1:457|1:2409
51|=|1:2648|2:448,4267
52|=|1:1039|2:3272,31
53|>|1:3314|2:3606,250
54|=|2:3964,78|1:270
55|>|1:70|1:4003
56|>|1:2855|1:4095
57|>|1:4270|1:4273
58|>|1:4327|1:2294
59|>|1:4388|1:401
60|>|1:1646|1:1780
61|=|1:19|2:166,3937
62|=|1:1889|1:1888
63|=|1:1888|1:1889
64|>|1:11563|1:11564
65|=|1:88|1:2980
66|=|1:123|1:122
67|=|1:891|1:888
68|=|1:1496|1:3925
69|>|1:832|1:914
70|=|2:2,1|2:20,9
71|>|1:2|1:8
72|>|1:2|1:20
73|=|2:2,1|1:79
74|>|1:2|1:529
75|=|1:4|2:3,1
76|=|2:3,10|2:1668,4
77|=|2:11563,3|2:4,11564
78|=|2:62,26|1:25
79|=|2:51,3|2:124,4
80|>|1:70|1:927
81|>|1:883|1:500
82|>|1:500|1:763
83|>|1:887|1:890
84|=|2:4,2142|2:2144,3
85|>|1:3|2:149,285
86|>|1:3|1:423
87|>|1:3|1:6
88|=|1:4|2:8,5
89|=|1:825|1:826
90|>|1:883|1:500
91|=|1:888|1:891
92|=|1:2142|1:2144
93|>|1:4371|2:493,309
94|=|1:3|1:6
95|=|3:27,5,78|2:6,1
96|=|2:26,62|1:25
97|>|2:124,5|2:6,51
98|>|1:6|1:3
99|>|1:6|2:149,10387
100|>|1:51|1:124
101|>|1:8|1:20
102|=|2:8,1|1:102
103|=|1:8|1:2
104|>|1:1109|1:8
105|>|1:8|1:1109
106|=|1:20|1:8
107|>|1:2715|1:2
108|=|1:3696|1:4
109|>|1:789|1:10
110|>|1:84|2:11,14
111|=|1:1182|2:11,1
112|>|2:11,78|1:56
113|>|1:12|1:144
114|=|1:423|1:3
115|=|1:496|1:13
116|>|1:8872|1:8873
117|>|1:3073|1:8872
118|=|2:2,14|2:1887,8
119|>|1:188|2:14,1
120|=|2:3833,3|2:157,4
121|=|1:3833|2:157,14
122|>|2:14,7|1:188
123|>|3:11,14,2|1:165
124|=|1:165|3:14,11,2
125|>|1:1163|1:14
126|=|2:3966,3964|1:14
127|>|1:15|1:103
128|=|1:15|1:73
129|>|1:15|1:73
130|=|1:103|1:15
131|>|1:73|1:15
132|>|1:16|1:59
133|>|1:59|1:16
134|=|1:17|1:519
135|=|1:519|1:17
136|=|1:17|1:793
137|=|1:17|1:1692
138|=|1:1782|1:559
139|=|1:17|1:2059
140|=|1:17|1:2363
141|=|1:17|1:2477
142|=|1:17|1:3946
143|>|1:18|2:245,9
144|>|2:245,2|1:18
145|=|2:19,1|2:166,257
146|>|1:71|1:19
147|>|1:19|1:1007
148|>|1:19|2:166,1089
149|=|1:19|2:166,2319
150|>|1:20|2:14,127
151|>|1:20|2:143,114
152|>|1:20|2:208,9
153|>|1:1109|1:2
154|=|2:208,2|1:20
155|>|1:4577|1:8
156|=|2:54,1|2:20,9
157|>|1:767|1:3
158|=|1:20|2:143,116
159|>|1:529|1:20
160|>|1:21|1:151
161|=|2:21,1|1:2683
162|>|1:21|1:2755
163|=|1:4721|2:22,14
164|>|1:182|1:22
165|>|1:251|1:22
166|>|1:251|1:22
167|>|1:22|1:72
168|=|1:2|1:8
169|>|1:505|1:22
170|>|1:505|1:22
171|>|2:22,9|1:72
172|>|2:22,9|1:223
173|=|1:72|2:22,9
174|>|2:22,10|1:24
175|=|2:22,10|1:24
176|=|2:22,10|1:24
177|=|2:56,24|2:22,10
178|=|1:2387|2:22,14
179|=|1:145|1:22
180|=|1:459|1:22
181|=|1:145|2:22,11
182|>|1:36|1:22
183|>|1:2570|1:22
184|>|1:3061|1:22
185|=|1:63|2:22,14
186|=|1:664|2:22,14
187|=|1:645|2:22,14
188|=|1:22|1:82
189|>|1:22|1:4425
190|>|1:24|2:33,10
191|=|2:82,10|1:24
192|=|2:33,10|1:24
193|=|2:223,10|1:24
194|>|1:81|1:24
195|=|2:24,12|2:2385,10
196|=|2:33,10|1:24
197|=|2:4412,10|1:24
198|=|1:901|2:22,24
199|=|2:24,24|1:314
200|>|2:25,2|1:2589
201|=|2:25,2|1:4245
202|=|1:25|2:26,14
203|=|1:1030|1:25
204|=|1:25|2:26,14
205|=|1:25|2:26,14
206|>|1:1565|1:25
207|>|2:14,25|1:62
208|>|1:4304|1:25
209|=|1:62|2:25,14
210|>|1:767|1:3
211|=|2:26,41|1:25
212|>|1:25|1:569
213|=|1:25|1:213
214|>|1:25|1:316
215|=|1:2803|1:25
216|=|1:25|1:4217
217|=|1:405|1:26
218|=|2:26,10|1:89
219|=|2:26,11|1:295
220|=|1:3976|1:26
221|>|1:840|2:26,14
222|>|1:4099|2:26,14
223|>|2:26,24|2:1103,10
224|=|1:26|1:227
225|>|1:205|2:11,27
226|>|1:51|1:124
227|=|2:635,78|2:27,7
228|=|2:11,27|2:232,1
229|>|1:589|1:18
230|>|1:571|1:18
231|>|1:213|2:26,14
232|=|3:28,493,1|2:30,86
233|=|2:28,4|2:30,3
234|=|1:28|1:30
235|=|1:28|2:188,30
236|=|1:28|2:188,30
237|=|1:29|1:163
238|>|1:29|1:103
239|=|2:101,73|1:29
240|=|1:29|1:52
241|>|1:29|2:647,15
242|>|1:29|1:3137
243|>|1:493|1:794
244|>|2:1550,1|1:9277
245|=|1:232|1:11
246|=|2:251,28|2:22,30
247|=|2:2528,28|2:26,30
248|>|1:31|1:90
249|=|2:31,3|2:194,4
250|=|1:31|1:2462
251|=|1:31|1:2214
252|=|1:90|2:31,9
253|=|1:101|2:31,9
254|>|1:31|1:194
255|>|1:181|1:31
256|=|1:31|1:93
257|>|1:861|1:31
258|>|2:11563,1800|1:32
259|=|2:32,30|4:462,232,11563,28
260|>|1:32|1:4263
261|>|1:32|1:4264
262|>|1:32|1:4265
263|=|1:33|1:223
264|=|2:33,2|1:4412
265|>|1:223|2:33,9
266|>|1:4184|2:33,9
267|>|1:182|1:33
268|=|2:33,13|1:223
269|=|1:4608|2:33,14
270|>|1:4412|1:20
271|=|1:1759|2:33,22
272|>|1:2095|2:33,22
273|=|1:82|1:33
274|=|1:2122|2:31,33
275|>|1:35|1:140
276|=|1:422|1:211
277|=|1:35|1:44
278|=|1:422|1:197
279|=|1:140|1:35
280|=|1:197|1:422
281|=|1:1166|1:422
282|>|1:44|1:35
283|=|1:1084|1:35
284|=|1:370|2:35,31
285|=|1:36|2:205,33
286|=|1:804|1:36
287|=|1:1740|1:36
288|=|1:36|1:72
289|=|1:145|1:36
290|=|1:145|1:36
291|>|1:22|1:36
292|>|2:11,72|2:36,9
293|=|2:36,13|1:72
294|=|1:3050|2:36,14
295|>|1:1929|2:36,14
296|>|1:3158|2:22,36
297|=|2:36,24|2:154,10
298|=|2:36,24|2:154,10
299|=|1:81|1:24
300|>|1:522|2:24,36
301|=|1:49|2:36,25
302|>|1:49|2:36,14
303|>|1:378|2:36,14
304|>|1:145|1:36
305|>|1:145|1:36
306|>|1:154|1:36
307|=|1:36|1:3061
308|>|1:37|2:48,14
309|=|2:37,3|2:48,4
310|>|1:37|2:48,14
311|=|1:37|1:209
312|=|2:2929,3|3:37,22,4
313|>|1:41|2:22,37
314|=|1:37|1:2731
315|=|2:48,25|2:26,37
316|=|2:37,36|2:48,49
317|=|1:173|1:37
318|=|1:128|1:39
319|=|1:273|1:39
320|=|1:424|1:39
321|=|1:425|1:39
322|=|2:613,39|2:13,39
323|=|1:39|1:2351
324|=|2:39,1755|2:13,39
325|=|3:39,1755,3|2:423,39
326|=|1:40|2:10,58
327|=|1:40|2:595,4
328|<|1:40|1:552
329|=|1:40|1:995
330|=|1:40|1:595
331|=|3:2,58,10|2:13,40
332|=|2:327,10|2:13,40
333|>|2:40,24|1:258
334|=|2:40,3255|2:552,3482
335|=|2:40,33|2:1955,24
336|=|2:44,10|2:35,40
337|=|2:40,37|2:1698,10
338|=|1:41|2:22,14
339|>|1:49|1:41
340|=|2:2540,3|3:41,22,4
341|=|2:130,24|2:2624,10
342|=|1:41|2:22,49
343|=|1:41|1:130
344|=|2:42,3|2:119,4
345|=|2:42,10|1:89
346|=|2:145,89|1:3326
347|=|1:89|2:42,10
348|=|1:42|1:119
349|=|1:3501|1:42
350|=|2:160,89|1:314
351|>|1:4369|1:25
352|=|1:42|1:119
353|>|1:43|2:588,15
354|>|1:3428|1:43
355|=|2:43,2392|2:3343,15
356|>|1:43|1:199
357|>|1:43|1:1035
358|>|1:43|1:3484
359|=|1:43|1:3765
360|=|1:43|1:3796
361|=|1:44|2:3723,56
362|>|1:44|1:1149
363|>|1:44|1:140
364|>|1:44|1:4361
365|>|1:44|1:3425
366|=|1:44|1:35
367|=|1:36|1:72
368|=|2:42,10|1:89
369|>|1:44|1:842
370|=|1:2|1:46
371|=|1:46|2:13,1711
372|=|1:46|1:8
373|=|1:46|1:15
374|=|1:46|1:35
375|=|1:46|1:110
376|=|1:44|1:46
377|=|1:61|1:46
378|=|1:73|1:46
379|=|2:197,46|2:13,46
380|=|2:47,3|2:3140,4
381|>|1:47|1:3128
382|>|1:47|1:2563
383|>|1:47|1:917
384|>|1:47|1:881
385|>|1:615|1:47
386|=|1:3088|1:47
387|=|2:47,22|2:3128,41
388|>|1:47|1:2176
389|=|1:47|1:3128
390|>|1:2176|1:47
391|=|1:47|1:384
392|=|1:47|1:663
393|>|1:47|1:1012
394|=|1:47|2:1403,11
395|=|1:2257|1:47
396|=|1:156|1:48
397|>|1:48|1:205
398|=|2:48,10|1:297
399|=|1:550|3:11,14,48
400|=|1:1000|2:48,22
401|>|1:4379|2:48,22
402|=|2:145,10|2:24,48
403|=|1:3326|2:24,48
404|>|2:48,26|1:2544
405|>|1:156|1:48
406|>|1:156|1:48
407|=|1:1649|2:36,48
408|=|1:3050|2:37,48
409|>|1:295|2:42,48
410|>|2:49,2|1:2442
411|>|1:49|1:4313
412|=|1:49|1:148
413|>|1:49|1:148
414|>|1:410|1:49
415|>|1:148|1:49
416|>|1:2030|1:49
417|>|1:49|1:928
418|>|1:928|1:49
419|>|1:49|1:97
420|>|1:49|2:119,14
421|>|1:49|1:378
422|=|2:49,157|2:3833,36
423|>|1:51|2:25,1223
424|>|2:37,605|1:51
425|=|1:2511|2:51,42
426|>|1:52|1:563
427|=|2:416,73|1:52
428|>|1:52|2:238,15
429|=|2:52,43|2:103,3613
430|=|1:52|1:2891
431|>|1:52|2:4274,15
432|>|1:53|2:54,57
433|>|1:53|1:220
434|>|1:220|1:53
435|>|1:55|2:357,114
436|>|1:55|2:438,9
437|=|1:55|1:110
438|>|2:438,2|1:55
439|>|1:110|1:55
440|>|1:61|1:55
441|>|2:438,73|1:55
442|>|2:438,44|1:55
443|=|1:56|1:1957
444|=|1:56|2:11,78
445|>|1:712|2:56,10
446|>|1:205|1:56
447|>|1:450|2:14,56
448|>|1:931|1:25
449|>|1:930|1:49
450|>|1:919|2:56,51
451|>|1:92|1:57
452|=|1:220|2:57,2
453|=|1:220|2:57,8
454|>|1:220|2:57,20
455|=|1:2154|3:22,57,14
456|>|1:92|1:57
457|=|1:2253|2:31,57
458|>|1:848|1:6218
459|>|1:3917|1:6219
460|>|1:3920|1:6220
461|=|2:69,3|1:4
462|=|1:1760|2:58,9
463|<|1:14|1:654
464|=|1:2639|2:20,58
465|=|1:1749|1:22
466|=|2:69,28|1:30
467|=|1:1977|1:47
468|=|1:2165|1:49
469|=|1:2081|1:51
470|>|1:59|2:250,9
471|>|2:250,2|1:59
472|=|2:101,250|2:31,59
473|>|1:60|2:75,84
474|=|1:60|1:309
475|>|2:60,2|1:4378
476|=|2:559,3|2:149,12730
477|=|1:60|1:309
478|>|1:60|1:4371
479|>|1:60|1:2438
480|=|1:60|1:3174
481|=|1:1410|1:60
482|=|1:60|1:534
483|>|1:60|2:175,11
484|=|1:60|1:706
485|>|1:61|1:73
486|>|1:61|1:110
487|=|1:110|1:61
488|>|1:73|1:61
489|=|2:61,22|2:110,72
490|>|1:73|1:61
491|=|1:61|2:841,13
492|>|2:62,2|1:165
493|>|1:62|1:840
494|=|2:40,62|2:2166,10
495|=|1:49|1:148
496|=|1:62|1:733
497|=|2:63,3|2:164,4
498|>|1:896|2:63,9
499|=|2:13,63|1:896
500|=|1:63|2:164,41
501|=|1:63|1:873
502|=|2:48,63|2:37,164
503|=|1:63|1:664
504|>|1:63|1:1822
505|=|1:1479|1:2691
506|=|1:13896|1:3188
507|=|1:13895|1:3189
508|=|1:1640|1:3190
509|=|1:1640|1:3191
510|=|1:13895|1:3192
511|=|1:1640|1:3193
512|=|1:9275|1:3602
513|=|1:129|1:65
514|>|2:1862,1|1:65
515|>|1:65|1:56
516|>|1:129|1:65
517|>|2:214,1|2:65,14
518|>|1:129|1:65
519|>|1:932|2:65,25
520|>|1:209|1:37
521|>|1:209|1:37
522|=|1:2177|2:47,65
523|>|1:65|2:129,56
524|>|1:66|1:961
525|>|1:66|1:2398
526|>|1:961|1:66
527|>|1:2398|1:66
528|>|2:355,2|1:66
529|>|2:66,26|1:3978
530|=|1:222|1:69
531|=|2:1354,3|2:1237,4
532|=|1:222|1:69
533|=|1:1020|2:67,9
534|=|2:24,67|2:1569,10
535|=|1:1569|2:67,33
536|=|1:67|1:1656
537|=|2:1949,1|2:67,58
538|=|1:158|1:69
539|=|2:69,6|3:58,5,78
540|=|1:69|2:58,27
541|=|1:157|1:69
542|=|1:222|1:69
543|>|1:69|1:158
544|>|1:222|1:69
545|>|1:989|1:70
546|>|1:989|1:70
547|>|1:70|1:4003
548|>|1:70|1:927
549|>|1:70|1:1362
550|>|1:2590|1:70
551|>|2:1043,14|1:71
552|=|1:71|1:2509
553|>|1:151|1:71
554|=|2:957,385|2:71,33
555|=|2:71,48|2:1043,37
556|=|1:2488|1:71
557|>|1:71|1:385
558|=|1:71|1:765
559|=|1:71|2:2634,11
560|>|1:71|1:4075
561|=|1:574|1:72
562|=|2:73,22|2:72,15
563|>|1:43|1:3525
564|=|1:72|1:2230
565|>|1:73|1:103
566|=|2:474,75|2:2877,10
567|=|1:309|1:75
568|=|1:3224|2:75,22
569|=|1:75|1:1030
570|=|2:75,26|2:3308,25
571|>|1:409|1:75
