Enzyme_index|Reactions
1|19: 530 531 645 1799 2461 4125 4186 4465 4466 6033 6043 6217 6424 6425 7349 7374 7378 7619 7620 
2|5: 532 638 890 4463 6426 
3|2: 1512 1513 
4|1: 2522 
5|1: 887 
6|1: 3648 
7|1: 718 
8|1: 1613 
9|1: 1620 
10|2: 741 4808 
11|1: 1619 
12|1: 2078 
13|2: 747 6253 
14|4: 747 2476 5024 7601 
15|1: 2505 
16|2: 648 2307 
17|1: 1011 
18|1: 1274 
19|1: 2726 
20|12: 888 890 936 938 1233 1499 1500 1524 2155 2199 2408 2409 
21|1: 237 
22|3: 989 993 2576 
23|1: 1591 
24|1: 2054 
25|2: 614 1194 
26|3: 601 857 2658 
27|1: 602 
28|2: 614 1194 
29|1: 1172 
30|2: 1736 4327 
31|1: 1908 
32|1: 1909 
33|1: 1761 
34|18: 1516 1678 3621 4070 4072 4074 4076 4078 4081 4130 4132 4327 4780 6057 6963 6967 6971 7165 
35|2: 1517 1680 
36|2: 289 6245 
37|2: 179 182 
38|1: 179 
39|2: 181 182 
40|1: 607 
41|3: 219 220 1615 
42|2: 1726 1727 
43|1: 1316 
44|1: 2253 
45|1: 1498 
46|2: 1309 1310 
47|4: 937 939 940 7609 
48|2: 712 2339 
49|23: 2110 2111 3704 3705 4135 4136 4138 4139 4142 4143 4145 4146 4148 4149 4150 4151 4153 4154 4156 4157 8003 9404 9405 
50|8: 1564 1566 2000 2001 2920 2921 8955 8956 
51|1: 3562 
52|5: 3723 4144 4147 4155 4158 
53|1: 3063 
54|1: 1921 
55|1: 1612 
56|1: 2089 
57|1: 2178 
58|1: 1380 
59|2: 1490 1491 
60|1: 1409 
61|6: 2000 2001 4018 4019 7985 8019 
62|1: 1566 
63|1: 1460 
64|1: 3343 
65|1: 741 
66|2: 1485 1487 
67|6: 530 532 638 645 6424 6426 
68|2: 888 890 
69|1: 2461 
70|1: 3230 
71|1: 3186 
72|4: 1519 1919 1920 2638 
73|1: 2151 
74|3: 396 1196 2151 
75|1: 1332 
76|2: 1194 1196 
77|1: 290 
78|1: 180 
79|1: 1036 
80|4: 851 1416 3807 9048 
81|6: 2612 3819 3820 4328 4329 4331 
82|3: 1646 1647 4171 
83|1: 1760 
84|8: 1280 1504 1892 2228 3700 4511 4571 4572 
85|1: 1281 
86|2: 1493 1494 
87|2: 2168 5359 
88|2: 718 719 
89|2: 1302 7268 
90|1: 2939 
91|1: 3559 
92|1: 2585 
93|1: 2586 
94|11: 2367 3899 3900 3902 3908 3928 4254 4265 6837 9111 9115 
95|3: 2358 2878 3750 
96|1: 2548 
97|1: 1261 
98|3: 2822 2824 6254 
99|1: 1799 
100|1: 2106 
101|1: 1459 
102|1: 2039 
103|1: 1674 
104|2: 3606 3607 
105|2: 3072 3073 
106|1: 3076 
107|1: 3068 
108|1: 923 
109|1: 1353 
110|2: 1353 1354 
111|1: 249 
112|2: 250 6255 
113|2: 939 940 
114|4: 249 1231 2432 7609 
115|3: 6256 6750 7968 
116|1: 1446 
117|2: 743 7706 
118|2: 1326 3487 
119|1: 1327 
120|1: 1326 
121|1: 3208 
