Index|Enzyme_Code
1|1.1.1.1
2|1.1.1.2
3|1.1.1.3
4|1.1.1.4
5|1.1.1.6
6|1.1.1.7
7|1.1.1.8
8|1.1.1.9
9|1.1.1.10
10|1.1.1.11
11|1.1.1.12
12|1.1.1.13
13|1.1.1.14
14|1.1.1.15
15|1.1.1.16
16|1.1.1.17
17|1.1.1.18
18|1.1.1.19
19|1.1.1.20
20|1.1.1.21
21|1.1.1.22
22|1.1.1.23
23|1.1.1.24
24|1.1.1.25
25|1.1.1.26
26|1.1.1.27
27|1.1.1.28
28|1.1.1.29
29|1.1.1.30
30|1.1.1.31
31|1.1.1.32
32|1.1.1.33
33|1.1.1.34
34|1.1.1.35
35|1.1.1.36
36|1.1.1.37
37|1.1.1.38
38|1.1.1.39
39|1.1.1.40
40|1.1.1.41
41|1.1.1.42
42|1.1.1.43
43|1.1.1.44
44|1.1.1.45
45|1.1.1.46
46|1.1.1.47
47|1.1.1.48
48|1.1.1.49
49|1.1.1.50
50|1.1.1.51
51|1.1.1.52
52|1.1.1.53
53|1.1.1.54
54|1.1.1.55
55|1.1.1.56
56|1.1.1.57
57|1.1.1.58
58|1.1.1.59
59|1.1.1.60
60|1.1.1.61
61|1.1.1.62
62|1.1.1.64
63|1.1.1.65
64|1.1.1.66
65|1.1.1.67
66|1.1.1.69
67|1.1.1.71
68|1.1.1.72
69|1.1.1.73
70|1.1.1.75
71|1.1.1.76
72|1.1.1.77
73|1.1.1.78
74|1.1.1.79
75|1.1.1.80
76|1.1.1.81
77|1.1.1.82
78|1.1.1.83
79|1.1.1.84
80|1.1.1.85
81|1.1.1.86
82|1.1.1.87
83|1.1.1.88
84|1.1.1.90
85|1.1.1.91
86|1.1.1.92
87|1.1.1.93
88|1.1.1.94
89|1.1.1.95
90|1.1.1.96
91|1.1.1.97
92|1.1.1.98
93|1.1.1.99
94|1.1.1.100
95|1.1.1.101
96|1.1.1.102
97|1.1.1.103
98|1.1.1.104
99|1.1.1.105
100|1.1.1.106
101|1.1.1.107
102|1.1.1.108
103|1.1.1.110
104|1.1.1.111
105|1.1.1.112
106|1.1.1.113
107|1.1.1.114
108|1.1.1.115
109|1.1.1.116
110|1.1.1.117
111|1.1.1.118
112|1.1.1.119
113|1.1.1.120
114|1.1.1.121
115|1.1.1.122
116|1.1.1.123
117|1.1.1.124
118|1.1.1.125
119|1.1.1.126
120|1.1.1.127
121|1.1.1.129
122|1.1.1.130
123|1.1.1.131
124|1.1.1.132
125|1.1.1.133
126|1.1.1.134
127|1.1.1.135
128|1.1.1.136
129|1.1.1.137
130|1.1.1.138
131|1.1.1.140
132|1.1.1.141
133|1.1.1.142
134|1.1.1.143
135|1.1.1.144
136|1.1.1.145
137|1.1.1.146
138|1.1.1.147
139|1.1.1.148
140|1.1.1.149
141|1.1.1.150
142|1.1.1.151
143|1.1.1.152
144|1.1.1.153
145|1.1.1.154
146|1.1.1.156
147|1.1.1.157
148|1.1.1.159
149|1.1.1.160
150|1.1.1.162
151|1.1.1.163
152|1.1.1.164
153|1.1.1.165
154|1.1.1.166
155|1.1.1.167
156|1.1.1.168
157|1.1.1.169
158|1.1.1.170
159|1.1.1.172
160|1.1.1.173
161|1.1.1.174
162|1.1.1.175
163|1.1.1.176
164|1.1.1.177
165|1.1.1.178
166|1.1.1.179
167|1.1.1.181
168|1.1.1.183
169|1.1.1.184
170|1.1.1.185
171|1.1.1.186
172|1.1.1.187
173|1.1.1.188
174|1.1.1.189
175|1.1.1.190
176|1.1.1.191
177|1.1.1.192
178|1.1.1.193
179|1.1.1.194
180|1.1.1.195
181|1.1.1.196
182|1.1.1.197
183|1.1.1.198
184|1.1.1.199
185|1.1.1.200
186|1.1.1.201
187|1.1.1.202
188|1.1.1.203
189|1.1.1.205
190|1.1.1.206
191|1.1.1.207
192|1.1.1.208
193|1.1.1.209
194|1.1.1.210
195|1.1.1.211
196|1.1.1.212
197|1.1.1.213
198|1.1.1.214
199|1.1.1.215
200|1.1.1.216
201|1.1.1.217
202|1.1.1.218
203|1.1.1.219
204|1.1.1.220
205|1.1.1.221
206|1.1.1.222
207|1.1.1.223
208|1.1.1.224
209|1.1.1.225
210|1.1.1.226
211|1.1.1.227
212|1.1.1.228
213|1.1.1.229
214|1.1.1.230
215|1.1.1.231
216|1.1.1.232
217|1.1.1.233
218|1.1.1.234
219|1.1.1.235
220|1.1.1.236
221|1.1.1.237
222|1.1.1.238
223|1.1.1.239
224|1.1.1.240
225|1.1.1.241
226|1.1.1.243
227|1.1.1.244
228|1.1.1.245
229|1.1.1.247
230|1.1.1.248
231|1.1.1.250
232|1.1.1.251
233|1.1.1.252
234|1.1.1.254
235|1.1.1.255
236|1.1.1.256
237|1.1.1.257
238|1.1.1.258
239|1.1.1.259
240|1.1.1.260
241|1.1.1.261
242|1.1.1.262
243|1.1.1.263
244|1.1.1.264
245|1.1.1.265
246|1.1.1.266
247|1.1.1.267
248|1.1.1.268
249|1.1.1.269
250|1.1.1.270
251|1.1.1.271
252|1.1.1.272
253|1.1.1.273
254|1.1.1.274
255|1.1.1.275
256|1.1.1.276
257|1.1.1.277
258|1.1.1.278
259|1.1.1.279
260|1.1.1.280
261|1.1.1.281
262|1.1.1.282
263|1.1.1.283
264|1.1.1.284
265|1.1.1.285
266|1.1.1.286
267|1.1.1.287
268|1.1.1.288
269|1.1.1.289
270|1.1.1.290
271|1.1.1.291
272|1.1.1.292
273|1.1.1.294
274|1.1.1.295
275|1.1.1.296
276|1.1.1.297
277|1.1.1.298
278|1.1.1.299
279|1.1.1.300
280|1.1.1.301
281|1.1.1.302
282|1.1.1.303
283|1.1.1.304
284|1.1.1.305
285|1.1.1.306
286|1.1.1.307
287|1.1.1.308
288|1.1.1.309
289|1.1.1.310
290|1.1.1.311
291|1.1.1.312
292|1.1.1.313
293|1.1.1.314
294|1.1.1.315
295|1.1.1.316
296|1.1.1.317
297|1.1.1.318
298|1.1.1.319
299|1.1.1.320
300|1.1.1.321
301|1.1.1.322
302|1.1.1.323
303|1.1.1.324
304|1.1.1.325
305|1.1.1.326
306|1.1.1.327
307|1.1.1.328
308|1.1.1.329
